Date,Ad set name,Ad name,Campaign name,Impressions,Cost,Website purchases,Cost per website purchase,CPC (cost per link click),CTR (link click-through rate),Signup,Registration,Unique purchases,Unique adds to cart,Website leads,Unique link clicks,Unique mobile app adds of payment info,Conversion rate ranking,Post shares,Return on ad spend (ROAS),Unique completed registrations,Post comments
2020-11-22,"Post: ""Who's going to give Dale his next day away from...""","Post: ""Who's going to give Dale his next day away from...""","Post: ""Who's going to give Dale his next day away from...""",716,1.98,,,0.18,1.54,,,,,,11,,3,,0,,
2020-11-22,"Post: ""✨⚰️  Glittery coffins""","Post: ""✨⚰️  Glittery coffins""","Post: ""✨⚰️  Glittery coffins""",398,2.1,,,1.05,0.5,,,,,,2,,0,1,0,,1
2020-11-22,customers-ll-1pc_all-placements_insomnia-video_w46-2020,insomnia_video,pollenary_0-incubator-creative_wc-registration_uk,11872,117.19,,,1.63,0.61,,1,,,,69,,3,1,0,,2
2020-11-22,customers-ll-1pc_all-placements_selfie-profiles-stylised_w46-2020,selfie-profiles-stylised_carousel,pollenary_0-incubator-creative_wc-registration_uk,13902,120.41,1,120.41,2.8,0.31,,8,,,,41,,0,,9.77,,2
2020-11-22,customers-ll-1pc_ig-stories_selfie-profiles-organic_w46-2020,selfie-profiles-organic-outline_carousel,pollenary_0-incubator-creative_wc-registration_uk,1066,23.05,,,3.29,0.66,,1,,,,6,,0,,0,,
2020-11-22,customers-ll-1pc_ig-stories_selfie-profiles-organic_w46-2020,selfie-profiles-organic-skullman_carousel,pollenary_0-incubator-creative_wc-registration_uk,6758,97.03,1,97.03,2.26,0.64,,6,,,,43,,5,1,16.44,,
2020-11-22,customers-ll-1pc_all-placements,exploding-myths-V2_video,pollenary_1-cold_wc-purchase_uk-ll-1pc-25-44,1762,15.47,,,1.55,0.57,,,,,,10,,1,,0,,3
2020-11-22,customers-ll-1pc_all-placements,near-death_static,pollenary_1-cold_wc-purchase_uk-ll-1pc-25-44,12150,115.29,,,4.43,0.21,,,,,,26,,1,,0,,3
2020-11-22,customers-ll-1pc_all-placements,pants-down-animatic_video,pollenary_1-cold_wc-purchase_uk-ll-1pc-25-44,1262,15.4,,,15.4,0.08,,,,,,1,,1,,0,,
2020-11-22,customers-ll-1pc_all-placements,pants-down_static,pollenary_1-cold_wc-purchase_uk-ll-1pc-25-44,9662,102.56,,,9.32,0.11,,1,,,,11,,1,,0,,
2020-11-22,engagers-365-ll-1pc_all-placements,exploding-myths-V2_video,pollenary_1-cold_wc-purchase_uk-ll-1pc-25-44,628,3.67,,,,0,,,,,,,,0,,0,,
2020-11-22,engagers-365-ll-1pc_all-placements,near-death_static,pollenary_1-cold_wc-purchase_uk-ll-1pc-25-44,8237,63.64,,,3.35,0.23,,1,,,,19,,1,,0,,1
2020-11-22,engagers-365-ll-1pc_all-placements,pants-down-animatic_video,pollenary_1-cold_wc-purchase_uk-ll-1pc-25-44,463,3.7,,,,0,,,,,,,,0,,0,,
2020-11-22,engagers-365-ll-1pc_all-placements,pants-down_static,pollenary_1-cold_wc-purchase_uk-ll-1pc-25-44,4756,37.89,,,5.41,0.15,,1,,,,7,,1,,0,,
2020-11-22,suits-happy-180-ll-1pc_all-placements,exploding-myths-V2_video,pollenary_1-cold_wc-purchase_uk-ll-1pc-25-44,659,6.13,,,3.07,0.3,,,,,,2,,0,,0,,
