Date,Ad set name,Ad name,Campaign name,Impressions,Cost,Website purchases,Cost per website purchase,CPC (cost per link click),CTR (link click-through rate),Signup,Registration,Unique purchases,Unique adds to cart,Website leads,Unique link clicks,Unique mobile app adds of payment info,Conversion rate ranking,Post shares,Return on ad spend (ROAS),Unique completed registrations,Post comments
2020-08-01,"Post: """"Here lies DeadHappy. It was a bit of a sore...""","Post: """"Here lies DeadHappy. It was a bit of a sore...""","Post: """"Here lies DeadHappy. It was a bit of a sore...""",350,3.18,,,,0,,,,,,,,0,,0,,6
2020-08-01,customers-ll-1pc_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,16008,143.22,,,2.2,0.41,,1,,,,64,,0,1,0,,3
2020-08-01,customers-ll-1pc_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,842,12.49,,,3.12,0.48,,,,,,4,,0,,0,,
2020-08-01,customers-ll-1pc_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,28727,252.83,,,4.36,0.2,,7,,,,57,,0,,0,,
2020-08-01,customers-ll-1pc_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,3857,57.76,,,7.22,0.21,,1,,,,8,,0,,0,,
2020-08-01,customers-ll-1pc_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,2218,20.53,,,6.84,0.14,,,,,,3,,0,,0,,
2020-08-01,customers-ll-1pc_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,268,5.40,,,5.4,0.37,,,,,,1,,0,,0,,
2020-08-01,ebay-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,7391,44.04,1.00,44.04,0.86,0.69,1,,,,,51,,0,,11.04,,
2020-08-01,ebay-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,20917,137.16,,,2.8,0.23,,1,,,,49,,0,,0,,
2020-08-01,ebay-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,1081,7.99,,,2,0.37,,,,,,4,,0,,0,,
2020-08-01,food-subscription-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,1747,14.37,,,1.6,0.52,,1,,,,9,,0,,0,,
2020-08-01,food-subscription-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,12481,90.53,,,3.77,0.19,,,,,,24,,0,1,0,,1
2020-08-01,food-subscription-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,15142,96.59,,,3.45,0.18,,2,,,,27,,0,1,0,,1
2020-08-01,life-insurance-25-44_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-registration_uk-interests,8436,47.06,1.00,47.06,1.68,0.33,,3,,,,27,,0,,20.57,,1
2020-08-01,life-insurance-25-44_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-suits-happy_uk-interests,15179,92.54,,,1.36,0.45,,1,,,,64,,0,1,0,,
2020-08-01,money-comparison-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,9291,54.70,1.00,54.7,1.14,0.52,,1,,,,47,,0,1,16.14,,
2020-08-01,money-comparison-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,20720,139.30,,,2.21,0.3,,2,,,,62,,0,,0,,
2020-08-01,money-comparison-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,1422,7.94,,,1.99,0.28,,1,,,,4,,0,,0,,
2020-08-01,online-entertainment-25-54_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-interests,15608,107.25,,,1.04,0.66,,3,,,,101,,0,,0,,1
2020-08-01,online-entertainment-25-54_all-placements,bread-4:5_video,pollenary_1-cold_wc-suits-happy_uk-interests,30559,193.72,,,1.51,0.42,,3,,,,128,,0,1,0,,1
2020-08-01,online-entertainment-25-54_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-interests,45035,309.03,,,3.12,0.22,,3,,,,98,,0,2,0,,3
2020-08-01,online-entertainment-25-54_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-suits-happy_uk-interests,17334,105.58,,,2.51,0.24,,1,,,,42,,0,3,0,,1
2020-08-01,online-entertainment-25-54_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-interests,4604,34.07,,,3.79,0.2,,1,,,,9,,0,,0,,
2020-08-01,online-entertainment-25-54_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-suits-happy_uk-interests,18758,118.75,,,3.04,0.21,,1,,,,39,,0,1,0,,
2020-08-01,recently-moved-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,528,5.84,,,5.84,0.19,,,,,,1,,0,,0,,
2020-08-01,recently-moved-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,1447,22.11,,,2.76,0.55,,,,,,8,,0,,0,,
2020-08-01,recently-moved-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,4342,60.46,,,6.05,0.23,,,,,,10,,0,,0,,
2020-08-01,transferwise-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,1651,16.10,,,2.68,0.36,,,,,,6,,0,,0,,1
2020-08-01,transferwise-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,5871,52.23,,,5.22,0.17,,,,,,10,,0,,0,,
2020-08-01,transferwise-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,17307,139.39,,,3.57,0.23,,1,,,,39,,0,1,0,,
2020-08-01,visitors-1_all-placements,vid-onhold-original-1:1,pollenary_3-hot_wc-purchase_uk,988,30.21,,,4.32,0.71,,,,,,6,,0,,0,,
2020-08-01,visitors-1_all-placements,vid-trustpilot-charlotte-mickteltitles-V3-1:1,pollenary_3-hot_wc-purchase_uk,302,8.50,,,2.13,1.32,,,,,,3,,0,,0,,
2020-08-01,visitors-1_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_3-hot_wc-purchase_uk,1625,58.07,2.00,29.04,3.06,1.17,,3,,,,17,,0,,14.4,,1
2020-08-01,visitors-2-7_all-placements,vid-onhold-original-1:1,pollenary_3-hot_wc-purchase_uk,2103,34.55,,,3.84,0.43,,,,,,9,,0,,0,,
2020-08-01,visitors-2-7_all-placements,vid-trustpilot-charlotte-mickteltitles-V3-1:1,pollenary_3-hot_wc-purchase_uk,839,14.37,,,2.87,0.6,,,,,,5,,0,,0,,
2020-08-01,visitors-2-7_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_3-hot_wc-purchase_uk,3994,64.32,,,7.15,0.23,,,,,,9,,0,1,0,,1
2020-08-02,"Post: """"Here lies DeadHappy. It was a bit of a sore...""","Post: """"Here lies DeadHappy. It was a bit of a sore...""","Post: """"Here lies DeadHappy. It was a bit of a sore...""",296,1.46,,,,0,,,,,,,,0,,0,,6
2020-08-02,customers-ll-1pc_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,15595,141.67,2.00,70.84,1.94,0.47,,5,,,,68,,0,,28.16,,
2020-08-02,customers-ll-1pc_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,527,8.31,,,2.77,0.57,,,,,,3,,0,,0,,
