"customer_id","gender","age","likes_wine","likes_beer","likes_spirits","income","digital","social_media_usage","number_of_children","alcohol_connoisseur","premium_member","alcohol_units_per_week","hobby_travel","hobby_watch_sports","hobby_foodie"
"PQ00027869","F",19,0,1,1,"<£15K",1,"med",0,0,1,4,0,1,0
"ZQ00018804","M",55,1,1,0,"£45-75K",1,"med",1,1,0,1,0,0,1
"ZQ0002937","F",26,0,1,1,"£30-45K",2,"high",0,0,1,15,1,1,0
"ZQ00016484","M",35,0,0,0,"£30-45K",2,"low",2,1,1,27,1,1,1
"PQ00080040","M",66,0,1,1,"£15-30K",5,"low",1,1,0,13,0,1,0
"PQ00045496","M",61,0,0,0,"£75K+",2,"low",0,1,0,8,0,0,1
"BQ00072763","M",46,1,1,0,"£30-45K",2,"high",2,1,0,3,1,1,1
"PQ00070199","F",19,1,0,0,"£30-45K",1,"high",0,0,0,7,1,0,0
"XQ00063203","F",62,1,0,1,"£30-45K",1,"low",0,1,0,9,0,1,1
"ZQ00049871","M",75,1,0,1,"£15-30K",2,"low",0,1,0,13,0,1,0
"BQ00029202","F",40,1,1,1,"£30-45K",4,"low",3,0,0,1,0,1,1
"AQ00020416","F",21,0,1,1,"£30-45K",1,"high",1,0,0,10,1,0,1
"BQ000550","M",47,1,0,0,"<£15K",3,"low",1,0,0,9,0,1,0
"AQ00067519","U",35,0,0,1,"£30-45K",2,"low",0,0,1,9,0,1,1
"AQ00010890","M",36,1,1,0,"£15-30K",2,"low",3,0,0,6,0,1,0
"BQ00080102","F",73,1,0,0,"<£15K",3,"low",4,0,0,9,1,1,0
"PQ00037736","F",18,1,0,1,"£15-30K",1,"high",0,0,1,21,0,1,0
"BQ00038455","M",42,0,0,0,"£15-30K",3,"low",3,0,0,6,0,0,1
"AQ00042382","M",64,1,0,1,"£30-45K",1,"med",2,0,0,6,0,1,0
"PQ0004851","F",72,0,1,0,"<£15K",4,"med",2,1,0,7,0,1,1
"XQ00057555","M",69,0,0,1,"£15-30K",1,"med",2,0,1,12,1,0,1
"AQ0007082","F",18,1,1,1,"£30-45K",3,"high",0,1,0,9,0,1,0
"PQ00087074","M",70,0,0,1,"£15-30K",4,"med",3,1,0,2,0,1,0
"XQ00076939","M",45,1,0,0,"£15-30K",2,"med",1,1,0,10,0,1,0
"AQ00049808","M",21,0,0,0,"£30-45K",1,"high",0,0,0,9,0,0,0
"BQ00050173","F",75,1,0,1,"£15-30K",2,"low",1,0,0,10,0,1,0
"XQ00051904","F",20,0,1,0,"£15-30K",1,"high",0,0,0,5,0,1,0
"PQ00023905","M",20,0,1,0,"£15-30K",1,"low",0,0,0,12,0,0,0
"ZQ00072170","M",29,0,0,0,"£15-30K",1,"med",2,1,0,6,0,0,0
"BQ00049159","M",55,1,0,1,"£30-45K",1,"high",0,1,0,10,0,1,1
"PQ00020266","F",35,0,0,0,"£75K+",3,"med",1,1,0,4,1,1,0
"PQ000371","M",50,1,0,0,"£75K+",4,"low",0,0,0,3,0,0,1
"BQ00094254","F",54,0,0,1,"£15-30K",2,"low",0,1,0,3,0,1,0
"ZQ00085983","M",35,0,0,1,"£30-45K",2,"high",1,0,1,15,0,1,0
"PQ00091057","F",60,0,0,0,"£45-75K",3,"low",0,1,0,4,0,0,1
"XQ00081465","F",64,1,0,0,"£45-75K",5,"med",2,1,0,3,0,1,0
"BQ00041421","M",68,1,0,0,"<£15K",3,"med",4,0,1,12,0,1,0
"XQ00061470","M",39,1,1,0,"£30-45K",2,"med",1,0,0,3,0,1,0
"PQ00075317","F",42,0,1,0,"£15-30K",1,"med",1,0,1,9,0,1,0
"AQ00039699","F",55,1,0,0,"£30-45K",3,"low",0,1,0,9,0,1,1
"AQ00086593","M",39,1,1,1,"£30-45K",1,"low",2,1,0,6,0,0,1
"BQ00068889","M",39,0,0,0,"£45-75K",1,"high",2,0,1,16,0,1,1
"AQ00025860","F",39,0,0,0,"£15-30K",1,"low",1,1,0,3,0,0,0
"XQ00058184","F",38,0,0,1,"£45-75K",2,"med",1,0,0,6,0,1,0
"BQ00070229","U",39,0,0,1,"£30-45K",1,"med",0,0,0,9,1,0,0
"PQ00023187","M",27,1,0,0,"£30-45K",2,"high",0,1,0,6,0,0,1
"ZQ00080834","M",21,1,0,0,"<£15K",1,"high",0,0,0,2,0,0,1
"BQ0002272","F",31,1,0,0,"£15-30K",1,"low",1,1,0,10,1,0,0
"BQ00096401","F",19,0,0,1,"£15-30K",1,"med",3,1,1,18,0,1,0
"BQ00063555","M",71,1,0,0,"£75K+",3,"low",1,1,1,21,1,0,1
"BQ00056244","M",49,1,0,0,"£15-30K",1,"high",3,1,0,8,0,1,0
"PQ00078787","F",18,1,0,0,"£15-30K",1,"high",0,0,0,13,0,1,0
"XQ00037106","F",20,0,1,1,"<£15K",1,"high",0,0,0,10,0,0,0
"ZQ00015491","F",42,1,0,0,"£45-75K",1,"low",1,0,1,29,1,0,0
"BQ00034889","F",20,0,1,0,"<£15K",2,"high",2,0,0,3,0,1,0
"XQ00037349","M",32,1,0,0,"£30-45K",2,"med",0,1,0,2,0,0,1
"BQ00080863","M",65,0,1,1,"<£15K",4,"med",0,0,0,2,0,1,0
"PQ00014831","F",67,0,1,0,"<£15K",3,"med",0,0,0,9,0,1,1
"PQ00028001","M",71,0,0,0,"<£15K",4,"low",4,0,0,10,0,0,0
"XQ00024854","F",57,0,1,0,"£30-45K",1,"low",0,1,0,9,1,1,0
"BQ00069608","M",32,0,0,1,"£45-75K",3,"high",0,1,0,5,1,1,0
"PQ00045413","F",18,0,0,0,"£15-30K",1,"high",0,0,0,8,1,1,1
"PQ00094459","F",70,0,0,1,"£30-45K",2,"low",2,1,0,8,0,1,0
"XQ0001271","M",66,0,0,0,"<£15K",5,"high",1,0,0,5,0,0,0
"XQ00071527","F",21,0,0,0,"£15-30K",1,"low",0,0,0,4,0,1,0
