"customer_id","gender","age","likes_wine","likes_beer","likes_spirits","income","digital","social_media_usage","number_of_children","alcohol_connoisseur","alcohol_units_per_week","hobby_travel","hobby_watch_sports","hobby_foodie"
"ZQ0009315","M",19,1,0,1,"£30-45K",1,"high",0,0,17,1,0,1
"ZQ00053245","M",67,1,0,1,"<£15K",5,"low",3,0,8,0,1,1
"ZQ00029635","M",57,1,0,0,"£45-75K",2,"low",2,0,2,0,0,1
"XQ00048300","M",65,0,0,1,"<£15K",3,"med",0,0,11,0,1,1
"BQ00022923","F",46,0,1,0,"£15-30K",1,"low",1,1,18,0,1,1
"ZQ00063986","M",19,1,0,0,"£30-45K",1,"high",1,0,5,0,1,1
"PQ00053295","M",66,0,1,0,"<£15K",5,"low",1,0,1,0,1,0
"BQ00033273","F",43,1,1,0,"£30-45K",1,"high",1,0,7,1,1,1
"XQ00011365","M",64,0,1,0,"£30-45K",4,"low",1,1,10,0,0,0
"ZQ00087665","M",45,0,1,1,"£45-75K",2,"low",2,0,8,0,1,0
"XQ00074213","M",70,1,0,1,"£30-45K",4,"low",0,0,8,0,0,0
"XQ00042860","M",71,1,0,1,"£15-30K",5,"high",0,0,10,0,1,0
"ZQ00061873","M",74,0,0,0,"<£15K",2,"low",3,1,9,0,1,1
"AQ00034761","M",75,0,0,0,"<£15K",4,"med",0,0,6,0,1,0
"PQ00059207","M",72,0,1,0,"<£15K",2,"low",0,0,7,0,1,0
"BQ00040924","F",73,0,0,1,"<£15K",3,"low",0,1,17,0,1,0
"ZQ00098912","F",63,1,1,0,"£45-75K",2,"low",1,1,3,0,0,1
"AQ00054160","M",37,0,1,0,"£45-75K",2,"med",1,0,7,0,0,1
"XQ00055587","M",60,1,0,0,"£15-30K",4,"low",4,0,11,0,1,1
"BQ00059636","M",73,1,1,0,"£15-30K",5,"low",1,1,6,0,1,0
"XQ00044430","M",50,0,0,1,"£15-30K",1,"low",2,1,9,0,0,0
"AQ00012701","U",49,1,0,1,"£75K+",1,"low",2,0,7,1,0,0
"ZQ00076649","M",48,0,0,0,"£30-45K",3,"low",1,0,12,0,0,0
"AQ00074086","F",65,0,0,0,"£30-45K",3,"med",2,0,13,0,1,0
"AQ0004434","F",20,0,0,0,"<£15K",1,"med",0,1,6,0,1,0
"XQ00090843","M",50,0,0,0,"£15-30K",5,"low",0,0,3,0,1,0
"XQ00029708","F",62,0,1,0,"£15-30K",3,"low",1,1,8,0,1,0
"XQ00011505","F",47,0,0,1,"£15-30K",1,"low",0,0,5,0,1,0
"XQ00029043","M",75,1,0,0,"£30-45K",2,"med",0,1,10,0,1,0
"BQ00039365","F",27,1,0,1,"£30-45K",1,"high",0,1,4,0,1,1
"XQ00064936","M",70,1,0,1,"£15-30K",2,"low",2,0,26,0,1,0
"ZQ00088697","M",64,1,0,0,"£45-75K",1,"low",0,0,4,1,1,0
"BQ00048453","F",19,0,0,1,"£15-30K",1,"high",1,0,7,0,1,1
"XQ00072582","F",64,1,0,0,"£30-45K",3,"low",1,1,6,0,1,1
"ZQ00097131","M",47,0,0,1,"£15-30K",1,"high",1,0,13,0,1,0
"ZQ00083408","F",70,0,0,0,"£15-30K",1,"low",4,1,8,0,1,0
"XQ00026886","M",47,1,0,1,"£30-45K",2,"med",0,1,13,0,1,0
"PQ00057997","F",58,1,1,1,"£45-75K",4,"med",1,1,13,0,0,1
"BQ00054911","M",44,1,0,0,"£45-75K",2,"high",1,1,10,1,1,0
"XQ00036483","F",45,1,0,1,"£45-75K",2,"low",0,1,2,1,0,0
"XQ00026011","M",42,0,0,0,"£15-30K",4,"high",1,1,2,0,1,0
"PQ00035258","M",19,1,0,1,"<£15K",1,"high",0,0,8,0,1,1
"PQ00047662","M",20,1,1,1,"£15-30K",1,"high",4,0,5,0,1,0
"XQ00037329","M",73,0,0,0,"<£15K",5,"low",2,0,8,0,1,0
"AQ00053073","M",64,0,1,0,"£30-45K",1,"low",2,1,19,0,0,1
"XQ00072232","F",19,1,0,0,"£30-45K",1,"med",2,1,5,0,0,0
"XQ00066303","F",22,1,0,1,"£30-45K",2,"low",1,0,10,1,1,0
"XQ00016188","F",18,0,1,0,"<£15K",1,"high",0,1,11,0,1,0
"ZQ00067318","F",75,0,0,1,"£15-30K",4,"med",2,0,13,0,1,0
"ZQ00090902","M",21,0,0,0,"<£15K",1,"high",0,1,15,0,0,0
"AQ00054278","M",48,0,0,1,"£30-45K",2,"low",0,0,13,0,0,0
"BQ00088329","F",45,1,0,1,"£15-30K",2,"high",2,1,12,0,1,1
"AQ0006775","M",43,1,1,1,"<£15K",1,"low",0,1,6,1,0,0
"BQ00062738","F",43,0,0,0,"£45-75K",2,"low",1,0,4,1,1,0
"BQ00024126","M",18,0,1,1,"£15-30K",1,"med",3,1,4,0,1,0
"BQ00033574","M",74,1,1,0,"£15-30K",3,"low",1,1,10,0,1,0
"PQ00059003","F",46,0,1,0,"£15-30K",3,"low",0,0,10,0,0,0
"XQ00034734","M",70,1,0,0,"<£15K",5,"low",2,1,3,0,0,0
"XQ00090747","M",63,1,0,1,"£15-30K",4,"low",0,1,18,1,1,0
"BQ00047577","F",36,1,0,0,"£15-30K",2,"med",3,1,5,0,1,1
"ZQ00032796","F",37,0,0,0,"£15-30K",2,"med",1,1,7,0,0,0
"PQ00075206","M",45,0,1,1,"£30-45K",3,"low",0,0,2,1,1,0
"ZQ00041070","M",49,0,1,0,"£15-30K",2,"low",3,0,4,0,1,0
"BQ00090725","M",28,1,0,0,"<£15K",1,"high",0,1,15,0,1,0
"BQ00085584","F",74,0,0,1,"£15-30K",2,"med",1,1,4,0,1,0
"XQ00048294","M",48,1,0,1,"£15-30K",3,"low",2,0,12,0,1,0
"AQ00053542","M",46,1,0,0,"£45-75K",1,"high",2,1,9,1,1,1
"XQ00030563","F",70,1,0,0,"£15-30K",3,"low",1,0,6,0,1,0
"XQ00027495","U",39,0,1,1,"£30-45K",3,"low",1,0,5,1,1,1
"XQ00076442","M",46,0,0,1,"£75K+",1,"low",1,1,11,0,1,1
"BQ00018248","F",40,0,1,0,"£30-45K",3,"med",2,0,14,0,1,1
"PQ00013877","F",69,1,1,0,"<£15K",3,"med",2,1,6,0,1,0
"XQ0003137","M",37,0,0,0,"£15-30K",1,"low",2,0,7,0,1,1
"AQ00031310","F",19,1,0,0,"<£15K",1,"high",0,0,8,1,1,0
"BQ00068051","F",40,1,0,0,"£45-75K",4,"low",0,1,4,1,1,0
"ZQ0005319","M",41,1,1,1,"£15-30K",2,"low",2,1,11,0,1,1
"PQ00016251","F",20,0,1,1,"£75K+",2,"low",2,0,9,1,0,1
"PQ00061066","M",23,1,0,1,"<£15K",1,"med",0,1,8,0,1,0
"BQ00041149","F",41,0,1,1,"£45-75K",3,"high",0,0,15,1,1,0
"XQ0003576","F",64,1,1,1,"£75K+",1,"low",2,1,8,0,0,1
"BQ00033732","M",19,0,1,0,"<£15K",1,"high",0,0,12,0,1,0
"XQ00038974","M",21,1,1,0,"<£15K",1,"med",0,1,8,0,1,0
"XQ00074322","M",37,1,0,0,"£15-30K",1,"low",1,0,10,0,1,0
"PQ00048614","M",43,1,1,0,"£30-45K",2,"high",0,1,5,1,0,1
"BQ00035606","M",19,0,0,0,"<£15K",3,"high",2,0,10,0,1,0
"XQ00069210","F",48,1,1,0,"£15-30K",4,"med",2,1,10,1,1,0
"XQ00047372","F",21,0,1,1,"<£15K",3,"high",0,0,5,0,1,0
"XQ00054590","F",60,1,1,1,"£15-30K",3,"low",2,1,16,0,1,0
"XQ00064626","M",48,1,0,0,"£75K+",1,"med",2,0,3,1,0,0
"AQ00012507","F",47,1,0,1,"£45-75K",4,"low",2,0,6,0,0,1
"ZQ0006753","M",70,0,0,1,"£45-75K",2,"low",1,1,3,0,1,1
"BQ00075555","M",68,0,0,0,"£15-30K",2,"med",2,1,14,0,1,0
"BQ00076799","M",46,0,0,0,"£30-45K",1,"low",0,0,7,1,0,0
"BQ00023691","M",40,0,1,0,"<£15K",2,"med",1,0,1,0,1,0
"BQ00085218","M",46,0,1,1,"£75K+",4,"low",4,1,8,0,0,1
"ZQ00075714","F",58,0,0,1,"£30-45K",3,"low",3,0,6,0,0,0
"BQ00084152","F",72,0,0,1,"£30-45K",3,"low",0,1,10,0,0,0
"ZQ00018281","M",62,1,1,1,"£30-45K",2,"med",4,0,4,0,0,0
"PQ0009287","F",21,1,1,0,"<£15K",1,"high",0,0,12,0,1,0
